,0
0,buenaventura
1,oel
2,photronics
3,imnet
4,heidweiler
5,rtb
6,dusseldorf
7,kandeel
8,sendi
9,coleco
10,ridgecrest
11,developoment
12,cccr
13,mci
14,hde
15,kji
16,cayuga
17,mackoff
18,lfio
19,joliet
20,zegl
21,atng
22,gruen
23,volusia
24,amadeus
25,kharrazi
26,undeground
27,gakuen
28,presticide
29,alejandro
30,pennell
31,forsyth
32,ogelbay
33,checkrobot
34,zollinger
35,hangzhou
36,nurukawa
37,knut
38,ingemar
39,booklyn
40,gnr
41,cso
42,stabilising
43,sttement
44,yassin
45,habre
46,vstr
47,quartger
48,siebel
49,warrenton
50,giordano
51,aepi
52,stuttgart
53,heublin
54,upco
55,ahc
56,rapp
57,mgll
58,misima
59,teleproductions
60,balletto
61,cahit
62,soctt
63,hpu
64,trinova
65,palle
66,accuray
67,ksu
68,timex
69,morita
70,marriott
71,organiaation
72,sabhavasu
73,crompton
74,banponce
75,towle
76,btlr
77,interpart
78,mustapha
79,rcp
80,skii
81,figueras
82,tilney
83,medan
84,harbin
85,carolian
86,gostev
87,liberalising
88,dalian
89,secureity
90,collectivites
91,kunayev
92,aluminium
93,editiion
94,gantos
95,nmk
96,wbb
97,sonae
98,trombetas
99,redco
100,wellemeyer
101,yugoslavian
102,herriot
103,sterivet
104,staqrted
105,defaud
106,vastatrix
107,croo
108,unibancorp
109,gaullist
110,hsla
111,vernes
112,iniziativa
113,yilin
114,hubei
115,fitchburg
116,dryr
117,alltest
118,publicker
119,durapipe
120,nums
121,plough
122,brockway
123,katsuyuki
124,terrence
125,fhr
126,dryclean
127,judgement
128,eagleslair
129,emphasises
130,ministy
131,riedel
132,shos
133,jacor
134,dalkon
135,nicolls
136,brancho
137,samarco
138,kirin
139,ouststanding
140,eastwood
141,bruca
142,syscon
143,aancor
144,wltn
145,bayernverein
146,qchm
147,uddevalla
148,snc
149,inmportant
150,gasekt
151,helpt
152,lebow
153,rudolph
154,campeau
155,adnoc
156,friedhelm
157,arusha
158,kmdc
159,spc
160,harsco
161,athey
162,vastagh
163,trsc
164,staodynamics
165,rasmussen
166,julien
167,nipsco
168,sayi
169,corvallis
170,berliner
171,subordianted
172,gould
173,cupertino
174,pldt
175,phsy
176,ryohei
177,gamb
178,kingman
179,abdulaziz
180,maribor
181,francx
182,harnischfeger
183,raym
184,hmoa
185,ranchman
186,dya
187,fdp
188,cbco
189,halvorsen
190,materialy
191,beloit
192,scotsdale
193,fbgia
194,bundebank
195,khamenei
196,mnc
197,birney
198,dynascan
199,rhoads
200,tandler
201,makl
202,butl
203,callebaut
204,geertsema
205,conagra
206,wwp
207,lichtblau
208,mangagement
209,znat
210,arsn
211,spectre
212,favourable
213,bgph
214,mobay
215,brockton
216,microdyme
217,geated
218,masashi
219,pnu
220,crg
221,zentralbank
222,vsec
223,maratech
224,reut
225,chb
226,nii
227,overlifting
228,lesotho
229,lomas
230,ccmc
231,macedon
232,aynalem
233,ozarka
234,ccn
235,aeco
236,haser
237,keersmaeker
238,liberalised
239,durakon
240,domest
241,schuman
242,computors
243,alcad
244,amtech
245,otsuki
246,fujitsu
247,chubb
248,achmad
249,katharina
250,takefman
251,mayfair
252,antilles
253,dnam
254,lawton
255,hyman
256,secaucus
257,shulansky
258,wayfoong
259,nmsb
260,handelsgesmbh
261,nordbanken
262,bpmi
263,amsol
264,gatx
265,denpac
266,ivcr
267,sladoje
268,crd
269,imat
270,armacost
271,asca
272,gdic
273,atvc
274,haltenbanken
275,nordson
276,cbot
277,iaco
278,thies
279,eic
280,helena
281,corynespora
282,calfed
283,shelard
284,depresed
285,roebuck
286,sunstates
287,celna
288,anititrust
289,lacina
290,mpdi
291,indosuez
292,planbureau
293,mcchip
294,sammons
295,sandi
296,salomon
297,labelled
298,mdp
299,scovill
300,qmed
301,byron
302,benequity
303,levelling
304,patricio
305,allis
306,reddaway
307,modelled
308,refinancement
309,aqtn
310,northrup
311,rejseforsikrings
312,aseay
313,urals
314,korkman
315,uht
316,francoise
317,amax
318,homestake
319,sifi
320,fairbanks
321,bronfman
322,iskenderun
323,quadrex
324,facilitie
325,duevel
326,limt
327,komatsu
328,gtos
329,mauritania
330,ushi
331,valex
332,rlm
333,nabisco
334,telc
335,paian
336,liniers
337,alcoa
338,hlm
339,nws
340,walther
341,hager
342,cgt
343,sanf
344,clabir
345,goedf
346,mhs
347,utilicorp
348,purina
349,bulawayo
350,bruks
351,shgares
352,claymont
353,ssiaa
354,behaviour
355,autotrol
356,maniframe
357,tamura
358,aarn
359,accountemps
360,tyln
361,fwch
362,anp
363,adsteam
364,pcep
365,pza
366,microoganisms
367,oquendo
368,alg
369,avge
370,gonzalo
371,dinkov
372,carteret
373,lamborghini
374,boxleigh
375,lufkin
376,tomaszewska
377,pemberton
378,gregorian
379,industies
380,fhs
381,amrep
382,vogtle
383,gban
384,antibioticos
385,nbfi
386,destabilising
387,fta
388,nonbelligerent
389,marlborough
390,almys
391,intw
392,lnce
393,fidelcor
394,frmi
395,schulmann
396,papanderou
397,acadia
398,montes
399,wausau
400,icca
401,lykes
402,tagaris
403,erickson
404,worts
405,staubli
406,starft
407,noil
408,constitucion
409,teapa
410,fco
411,hmte
412,perelman
413,knoell
414,marwick
415,fesharaki
416,cben
417,neic
418,industory
419,oln
420,pkd
421,erekson
422,rourke
423,bankworkers
424,jewellery
425,hvt
426,cefadroxil
427,ongc
428,teutong
429,snamprogetti
430,alpert
431,opffer
432,gabonese
433,recognise
434,oripes
435,arkla
436,debvt
437,capitalise
438,stearn
439,kennan
440,keycorp
441,thk
442,internationalise
443,cylcops
444,ameron
445,jmy
446,circumstasnces
447,psr
448,steinhaeuser
449,kacek
450,rabt
451,wesbanco
452,firstcorp
453,socanav
454,mnst
455,albertson
456,hech
457,jamail
458,akzo
459,microsemi
460,hoechst
461,efac
462,nmic
463,industrivarden
464,moorhead
465,vfed
466,citrosuco
467,nashimoto
468,acquisititon
469,reafffirmation
470,connunications
471,sylla
472,jwt
473,bunge
474,koethers
475,alaskan
476,fundo
477,conroe
478,miniere
479,cumberlande
480,masahiko
481,gilotherm
482,frawley
483,bacro
484,vlccs
485,weissach
486,bogota
487,nfu
488,harjavalta
489,gecc
490,dexleigh
491,winchell
492,swire
493,taipei
494,gustloff
495,guillevin
496,pex
497,rumours
498,trafalgar
499,acknowledgement
500,qedx
501,janauary
502,positiive
503,fendt
504,niskanen
505,bowne
506,frtr
507,saarbruecken
508,unterberg
509,lothar
510,mdxr
511,yamaichi
512,pincus
513,amertek
514,nzfp
515,auxton
516,suprlus
517,appaturs
518,vien
519,newmont
520,gurria
521,mississauga
522,corwith
523,wclb
524,metallverken
525,gaughan
526,parra
527,edmin
528,pachapidiana
529,kdd
530,tsbk
531,enquiries
532,visnews
533,mondanto
534,riyad
535,prsl
536,twicce
537,pbt
538,isuzu
539,cih
540,mmac
541,datagraph
542,morenci
543,wladyslaw
544,intercapital
545,amortisation
546,chuquicamata
547,inabiliuty
548,kobena
549,sulbath
550,kimbark
551,kuznetsky
552,ardmore
553,ronnskar
554,binks
555,depedent
556,geico
557,associaiton
558,genex
559,derferred
560,pyne
561,remsperger
562,stichler
563,villalobos
564,ardeshir
565,taupo
566,stikers
567,mercantil
568,mapara
569,bamberger
570,medicom
571,eksportfinans
572,fmd
573,corenes
574,haskins
575,cortronic
576,jolla
577,mmr
578,ecra
579,mnh
580,tcs
581,sidro
582,mackes
583,florio
584,mki
585,qtec
586,silas
587,miwok
588,mcadoo
589,medicontrol
590,chanthong
591,mrt
592,gcn
593,dartmouth
594,seec
595,niall
596,bulr
597,winterhalter
598,mould
599,kaohsiung
600,smithkline
601,interallianz
602,acuqire
603,quito
604,arnox
605,plambeck
606,onno
607,fgrp
608,synar
609,sprinkel
610,soyproducts
611,denwa
612,cff
613,lnsb
614,barents
615,osaka
616,radif
617,vlissingen
618,practised
619,genstar
620,asea
621,mcginness
622,zfour
623,hoffmann
624,microgrpahics
625,recinds
626,tadashi
627,npct
628,madelin
629,headquartera
630,minguzzi
631,ernesto
632,simbl
633,ncr
634,propoerties
635,langley
636,arlan
637,zimbabwean
638,woolco
639,nuclad
640,glynwed
641,glendale
642,finanziaria
643,gutmann
644,leduc
645,imtc
646,petronas
647,gnex
648,pekka
649,borrrowings
650,hellman
651,aluminimum
652,reorganise
653,ramsden
654,franke
655,dothan
656,fathi
657,isam
658,wdh
659,santow
660,aluminio
661,ivorian
662,portugues
663,gorbachev
664,gabelli
665,monsanto
666,catena
667,lennar
668,noncompetive
669,gldc
670,hwwa
671,alvaro
672,citybank
673,takemoto
674,baytown
675,gghf
676,statil
677,abz
678,msuya
679,rubbermaid
680,rost
681,whampoa
682,docemarte
683,stragey
684,kvaerner
685,aaix
686,nevis
687,ciots
688,vsh
689,nissei
690,unctad
691,wallenbergs
692,tuscaloosa
693,esop
694,yearley
695,distrigas
696,dni
697,hendersonville
698,kiuchi
699,cpic
700,loand
701,esex
702,paralyse
703,tmpl
704,glidden
705,nainggolan
706,favourite
707,comptek
708,tosco
709,amfac
710,glfs
711,halefolu
712,assetsof
713,channelink
714,paychex
715,etl
716,inro
717,zellerbach
718,compton
719,contral
720,okiyama
721,czechoslovakia
722,phlcorp
723,mauritian
724,ebinger
725,darmstadt
726,postsplit
727,resdel
728,wilhelm
729,bimd
730,offence
731,meyo
732,rdgc
733,timmins
734,extensification
735,dci
736,harlow
737,hpsc
738,renedered
739,amkg
740,ldc
741,knmc
742,esselte
743,paramaribo
744,barretto
745,ivey
746,industrialised
747,robintech
748,kly
